Phrases,State
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
open spotify,0
